3	10	84	16
5	8	87	16
10	7	64	33
15	5	41	27
16	7	77	38
17	9	94	59
20	7	68	45
30	5	59	16
32	5	76	15
34	7	69	22
40	9	71	27
45	6	83	26
46	9	76	23
56	6	80	57
62	6	68	27
63	10	77	11
64	10	99	31
80	7	75	50
81	6	50	9
92	5	86	34
92	8	82	53
92	7	81	14
110	7	91	35
111	8	67	44
111	10	99	47
120	8	93	35
123	8	63	2
123	5	49	12
129	5	64	17
140	8	70	30
172	5	50	52
180	6	57	39
181	5	63	35
182	5	94	44
186	10	94	60
197	10	79	31
209	7	65	2
220	6	67	20
221	9	100	18
221	9	82	7
230	5	53	21
251	7	92	7
253	9	74	34
258	6	60	18
264	8	77	38
279	9	91	33
301	5	83	21
306	6	75	1
309	5	67	37
320	8	73	43
329	8	75	7
339	5	55	30
357	10	80	45
371	5	80	57
371	5	65	20
385	8	75	35
386	9	98	53
390	7	69	36
401	7	56	14
402	5	79	7
421	7	82	51
422	8	78	30
452	10	88	37
462	6	67	60
463	7	79	48
465	5	61	28
483	7	78	23
496	5	61	32
501	7	67	54
506	7	67	30
