3	11	90	67
5	8	97	80
9	11	94	115
17	8	88	11
21	10	88	83
23	8	77	56
30	8	96	26
31	9	82	98
32	11	92	21
40	10	88	35
41	8	73	97
49	8	80	92
55	10	87	111
60	10	100	7
63	8	100	119
73	10	86	45
74	10	97	101
74	11	94	99
85	8	96	41
86	8	79	11
97	9	85	75
98	11	99	117
103	10	91	90
104	8	85	3
105	9	79	74
105	10	92	16
107	9	98	116
110	8	77	103
123	8	75	90
124	9	75	58
126	10	83	104
131	11	98	101
131	10	86	76
137	10	84	42
141	9	94	87
143	12	98	21
148	9	92	101
151	9	86	92
156	10	93	108
157	11	99	79
163	9	93	47
163	8	87	63
172	11	97	82
175	8	92	119
179	9	87	95
185	8	97	42
187	9	97	89
193	9	91	96
194	10	98	69
199	10	98	92
204	8	100	41
207	8	69	66
212	8	65	50
218	10	94	4
218	11	99	28
232	9	73	109
237	9	73	11
238	8	98	10
238	10	86	78
257	10	82	84
261	11	89	43
266	9	76	62
267	8	91	21
280	9	87	54
286	8	80	89
297	10	97	97
297	8	69	70
299	8	88	102
301	12	99	36
304	10	99	12
305	8	91	88
306	8	98	5
306	9	84	24
317	9	88	114
320	12	100	22
322	9	83	61
334	9	74	9
341	9	83	90
351	11	89	67
364	8	91	4
368	11	93	83
370	9	92	27
376	8	84	52
382	10	95	67
386	8	80	26
391	11	95	82
397	12	100	39
406	11	90	73
409	8	65	103
420	10	87	50
422	9	84	68
424	8	81	52
428	8	93	28
432	8	73	6
433	10	81	63
433	9	83	51
443	10	81	34
448	8	96	115
456	10	83	47
460	8	73	48
460	12	100	1
475	9	88	70
476	8	87	59
486	8	96	40
487	12	100	88
492	8	71	10
500	10	95	102
501	8	88	28
518	8	92	24
520	8	65	54
532	8	70	116
543	10	81	120
556	10	81	60
563	10	87	117
565	9	98	115
567	10	83	75
569	8	84	17
571	8	91	7
577	8	80	99
584	11	96	48
