0	5	79	15
0	8	97	22
2	9	76	22
2	6	80	25
8	7	61	3
9	6	78	35
16	7	66	37
16	6	90	36
18	10	71	28
36	8	99	9
36	6	40	4
37	9	88	18
70	8	84	30
75	7	56	38
76	8	96	47
79	9	76	38
83	5	67	45
90	8	71	8
99	9	75	7
119	10	66	47
119	5	93	40
123	6	76	12
124	5	77	34
129	9	65	21
130	7	82	16
150	9	79	43
160	8	64	48
165	10	64	18
166	8	61	20
190	10	74	29
191	6	96	14
192	5	73	18
198	10	81	38
201	8	58	27
203	9	99	2
204	9	99	4
205	9	79	27
240	10	90	32
241	5	62	47
242	10	95	34
260	10	77	17
280	6	69	27
281	7	61	38
283	8	56	30
288	9	100	18
301	9	79	35
302	5	85	47
302	7	71	37
310	6	83	39
321	5	56	39
